TYPE,Mean,SD,Scale,Slight,SD,Scale,Moderate,SD,Scale,Extensive,SD,Scale,Complete,SD,Scale
S4_M,186.34,0.22073,0.1333333,140,0.15,0.1333333,152,0.15,0.1333333,188,0.21,0.1333333,205,0.17,0.1333333
W1_H,211.3,0.33011,1,143,0.16,1,163,0.17,1,200,0.26,1,259,0.28,1
W2_H,211.3,0.33011,1,143,0.16,1,163,0.17,1,200,0.26,1,259,0.28,1
W3_H,130.64,0.42841,1,62,0.16,1,82,0.17,1,120,0.26,1,180,0.28,1
N_H,171.91,0.36341,1,103,0.16,1,123,0.17,1,162,0.26,1,219,0.28,1
CHB_H,256.9,0.331,1,164,0.15,1,188,0.19,1,230,0.22,1,324,0.17,1
URA_H,254.22,0.23577,1,132,0.17,1,208,0.16,1,240,0.14,1,301,0.17,1
URM_H,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
RM1_H,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
RM2_H,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
MWS_H,221.72,0.35855,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
CWS_H,221.67,0.35867,1,139,0.34,1,162,0.3,1,218,0.29,1,263,0.31,1
C1_H,227.51,0.27332,0.133333,144,0.17,0.133333,171,0.17,0.133333,218,0.22,0.133333,270,0.17,0.133333
C2_H,227.51,0.27332,0.133333,144,0.17,0.133333,171,0.17,0.133333,218,0.22,0.133333,270,0.17,0.133333
C4_H,227.51,0.27332,0.133333,144,0.17,0.133333,171,0.17,0.133333,218,0.22,0.133333,270,0.17,0.133333
PC1_H,227.51,0.27332,0.133333,144,0.17,0.133333,171,0.17,0.133333,218,0.22,0.133333,270,0.17,0.133333
PC2_H,227.51,0.27332,0.133333,144,0.17,0.133333,171,0.17,0.133333,218,0.22,0.133333,270,0.17,0.133333
S1_H,186.34,0.22073,0.1333333,140,0.15,0.1333333,152,0.15,0.1333333,188,0.21,0.1333333,205,0.17,0.1333333
S2_H,186.34,0.22073,0.1333333,140,0.15,0.1333333,152,0.15,0.1333333,188,0.21,0.1333333,205,0.17,0.1333333
S3_H,348.76,0.33155,1,231,0.24,1,270,0.24,1,322,0.24,1,478,0.36,1
